Trio,Paternal GT,Maternal GT,F1 age,Min DP,Max DP,Min AB,Max AB,MVs,# MVs passed,Transmission frequency,Paternal MVs,Maternal MVs,CpG MVs,Sites,CpG sites,Avg DP,Uncallable sites,Percent CpG,SNPs,CpG SNPs,Avg SNP DP,Uncallable SNP sites,Percent CpG,Mutation rate,Total SNPs,Post Filter SNPs,AB filtered SNPs,Min FN,MVs corrected for FN,Mutation rate corrected for FN,Notes
12,7.07,12.19,1.08,NA,NA,0.4,0.6,23,NA,NA,0,0,4,2440265718,126798017,36.56818837,31073966,0.051960742,1564,217,16.25191816,16578241,0.138746803,4.74E-09,471532403,242041038,229030878,0.485716096,44.72237966,9.23E-09,
13,2.78,3.26,5.52,NA,NA,0.4,0.6,23,5,0.217,10,12,4,2440071995,126794235,36.58506016,31267689,0.051963317,1988,309,17.48289738,16319516,0.155432596,4.74E-09,471532403,242041038,229030878,0.485716096,44.72237966,9.23E-09,
14,4.98,7.38,0.97,NA,NA,0.4,0.6,17,NA,NA,0,0,4,2439598245,126763292,36.60783398,31741439,0.051960724,2076,327,15.94315992,16528951,0.157514451,3.51E-09,471532403,242041038,229030878,0.485716096,33.05567192,6.82E-09,
1,4.89,5.27,6.83,NA,NA,0.45,0.55,16,10,0.625,9,4,3,2443559469,126989412,36.52811533,27780215,0.051969029,668,100,16.88772455,14036295,0.149700599,3.29E-09,471532403,139080435,331991481,0.704069283,54.06670918,1.11E-08,
2,5.67,6.27,1.53,NA,NA,0.45,0.55,12,NA,NA,0,0,1,2441203332,126856437,36.55207159,30136352,0.051964716,512,83,17.484375,14733033,0.162109375,2.47E-09,471532403,139080435,331991481,0.704069283,40.55003188,8.36E-09,
3,6.32,6.93,0.87,NA,NA,0.45,0.55,12,NA,NA,0,0,0,2440753004,126833299,36.55683779,30586680,0.051964823,664,97,16.52710843,15554705,0.146084337,2.47E-09,471532403,139080435,331991481,0.704069283,40.55003188,8.36E-09,
4,10.06,10.36,5.58,NA,NA,0.45,0.55,15,6,0.4,11,4,2,2440359615,126810901,36.56546776,30980069,0.051964022,896,125,16.51674107,16430639,0.139508929,3.09E-09,471532403,139080435,331991481,0.704069283,50.68753985,1.05E-08,
5,13.12,4.76,1.19,NA,NA,0.45,0.55,20,NA,NA,0,0,2,2441331889,126866952,36.55353968,30007795,0.051966286,534,81,19.36891386,15193970,0.151685393,4.12E-09,471532403,139080435,331991481,0.704069283,67.58338647,1.39E-08,
6,5.2,4.65,8.61,NA,NA,0.45,0.55,12,6,0.5,5,5,1,2440201409,126798641,36.56534218,31138275,0.051962367,1116,167,18.42921147,16429570,0.149641577,2.48E-09,471532403,139080435,331991481,0.704069283,40.55003188,8.37E-09,
7,7.44,7.74,1.17,NA,NA,0.45,0.55,19,NA,NA,0,0,1,2441486461,126867855,36.55523747,29853223,0.051963366,583,84,17.31217839,15126597,0.144082333,3.92E-09,471532403,139080435,331991481,0.704069283,64.20421715,1.32E-08,
8,8.04,8.34,0.96,NA,NA,0.45,0.55,44,NA,NA,0,0,8,2441999159,126900420,36.54818563,29340525,0.051965792,603,78,20.54063018,14981070,0.129353234,9.06E-09,471532403,139080435,331991481,0.704069283,148.6834502,3.06E-08,
9,6.02,6.4,5.7,NA,NA,0.45,0.55,15,4,0.267,11,2,0,2443498672,126987936,36.52962754,27841012,0.051969718,586,91,17.3668942,14008378,0.155290102,3.09E-09,471532403,139080435,331991481,0.704069283,50.68753985,1.04E-08,
10,7.02,4.96,1.1,NA,NA,0.45,0.55,16,NA,NA,0,0,3,2441623219,126885137,36.54968146,29716465,0.051967534,698,107,17.4756447,15148616,0.153295129,3.30E-09,471532403,139080435,331991481,0.704069283,54.06670918,1.11E-08,
11,4.36,2.95,7.79,NA,NA,0.45,0.55,17,10,0.588,8,7,3,2439896397,126779936,36.57372901,31443287,0.051961196,1070,181,15.92336449,16566608,0.169158879,3.51E-09,471532403,139080435,331991481,0.704069283,57.4458785,1.19E-08,
12,7.07,12.19,1.08,NA,NA,0.45,0.55,12,NA,NA,0,0,2,2440265718,126798017,36.56818837,31073966,0.051960742,727,93,17.61348006,16578241,0.127922971,2.48E-09,471532403,139080435,331991481,0.704069283,40.55003188,8.37E-09,
13,2.78,3.26,5.52,NA,NA,0.45,0.55,10,3,0.3,5,5,3,2440071995,126794235,36.58506016,31267689,0.051963317,892,150,19.09080717,16319516,0.168161435,2.06E-09,471532403,139080435,331991481,0.704069283,33.79169324,6.97E-09,
14,4.98,7.38,0.97,NA,NA,0.45,0.55,11,NA,NA,0,0,2,2439598245,126763292,36.60783398,31741439,0.051960724,1014,153,16.76134122,16528951,0.150887574,2.27E-09,471532403,139080435,331991481,0.704069283,37.17086256,7.67E-09,
